feature,display_name,clinical_meaning,data_type,valid_values_or_units,aggregation_meaning,missing_value_interpretation,selected_by_direct,selected_by_stage_1,selected_by_stage_2
Years_since_PD_diagnosis,Years since PD diagnosis,Disease duration at the prediction date.,continuous,Non-negative years,Landmark date minus diagnosis date.,Required; calculated from dated source fields.,True,True,True
Age,Age,Age at the prediction date.,continuous,Years,Landmark date minus birth date.,Required; calculated from dated source fields.,True,True,False
DXPOSINS,Postural instability at diagnosis,Whether postural instability was documented at diagnosis.,categorical,No; Yes; Unknown; missing,Latest eligible coherent diagnosis record.,Missing remains an explicit unknown state during preprocessing.,False,False,False
DXRIGID,Rigidity at diagnosis,Whether rigidity was documented at diagnosis.,categorical,No; Yes; Unknown,Latest eligible coherent diagnosis record.,Missing remains an explicit unknown state during preprocessing.,False,False,False
DOPTHERST,Dopaminergic therapy started,Whether dopaminergic therapy had been started by the landmark.,categorical,No; Yes; missing,Any eligible Yes; otherwise eligible No; otherwise missing.,Missing is explicit; never present an imputed category as observed.,True,True,True
MCATOT,MoCA total,Montreal Cognitive Assessment total cognition score.,numeric,0–30; higher is better cognition,Latest eligible complete total.,Training-only numeric handling if missing.,True,True,False
FRZGT12M,Freezing of gait,Self-reported freezing severity during the preceding 12 months.,ordinal,0–4; higher is more severe,Maximum eligible value.,101 or invalid codes are missing; a form-missing indicator accompanies the model value.,True,True,True
SCAU14,Lightheadedness on standing,SCOPA-AUT orthostatic lightheadedness frequency.,ordinal,0–3; higher is more frequent,Maximum eligible value.,Training-only numeric handling if missing.,True,True,True
SCAU16,Fainting,SCOPA-AUT fainting frequency during the preceding six months.,ordinal,0–3; higher is more frequent,Maximum eligible value.,Training-only numeric handling if missing.,True,True,False
GDS_TOTAL,GDS-15 total,Geriatric Depression Scale total depressive-symptom burden.,numeric,0–15; higher is greater burden,Latest eligible complete total.,Incomplete totals remain missing until training-only preprocessing.,True,True,False
NQ_GAUSSIAN_REVISION,Neuro-QoL Gaussian mobility score,Custom 8-item Gaussian-weighted mobility score inherited from the revision.,continuous,Custom score; higher is not a standard Neuro-QoL T-score,Calculated from the latest eligible coherent 8-item form.,A form-missing indicator accompanies the model value; label it as a custom score.,True,True,True
NP1RTOT,MDS-UPDRS Part I rater total,Rater-completed non-motor experiences of daily living total.,numeric,0–24; higher is greater burden,Maximum eligible total.,Field-specific 101 values are missing before totaling.,True,True,False
BMI,Body mass index,Body mass index closest to prediction.,continuous,kg/m²,Latest eligible cleaned measurement.,Implausible values are removed; remaining gaps use training-only handling.,False,False,False
NP1SLPD,Daytime sleepiness,Patient-reported daytime sleepiness severity.,ordinal,0–4; higher is more severe,Maximum eligible value.,Training-only numeric handling if missing.,True,True,False
NP1URIN,Urinary problems,Patient-reported urinary-problem severity.,ordinal,0–4; higher is more severe,Maximum eligible value.,Training-only numeric handling if missing.,True,True,True
NP3GAIT_COMBINED_MAX,Part III gait,Clinician-rated MDS-UPDRS Part III gait impairment.,ordinal,0–4; higher is more severe,Maximum eligible value across ON/OFF medication states.,101 means unable to rate and becomes missing; no 101 flag is used in the primary model.,True,True,True
NP3PSTBL_COMBINED_MAX,Part III postural stability,Clinician-rated MDS-UPDRS Part III postural stability.,ordinal,0–4; higher is more severe,Maximum eligible value across ON/OFF medication states.,101 means unable to rate and becomes missing; no 101 flag is used in the primary model.,True,True,True
NHY_COMBINED_MAX,Hoehn and Yahr stage,Highest documented Hoehn and Yahr disease stage.,ordinal,0–5; higher is more advanced,Maximum eligible value across ON/OFF medication states.,101 means unable to rate and becomes missing; no 101 flag is used in the primary model.,True,True,True
FEATPOSHYP,Symptomatic orthostatic hypotension,Whether symptomatic orthostatic hypotension had been documented.,categorical,No; Yes; Uncertain,Any eligible Yes; otherwise No; preserve Uncertain when applicable.,"Uncertain is a real response category, not missing.",True,True,True
NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,Clinician-rated total motor examination burden.,numeric,0–132; higher is greater impairment,Maximum eligible value across ON/OFF medication states.,Item-level unable-to-rate handling precedes the total.,True,True,False
NP4TOT,MDS-UPDRS Part IV total,Motor complications total.,numeric,0–24; higher is greater complication burden,Maximum eligible total.,Wholly absent forms may be structural zero only under the documented therapy rule; otherwise missing is explicit.,True,True,True
ANYFAMPD,Family history of PD,Whether any eligible family history of Parkinson disease was documented.,categorical,No; Yes; missing,Any eligible relative-specific Yes; otherwise No; otherwise missing.,Conflicting eligible records use the documented positive-dominant rule.,True,True,True
DXTREMOR,Tremor at diagnosis,Whether tremor was documented at diagnosis.,categorical,No; Yes; Unknown,Latest eligible coherent diagnosis record.,Missing remains an explicit unknown state during preprocessing.,False,False,False
DXBRADY,Bradykinesia at diagnosis,Whether bradykinesia was documented at diagnosis.,categorical,No; Yes; Unknown,Latest eligible coherent diagnosis record.,Missing remains an explicit unknown state during preprocessing.,False,False,False
DOMSIDE,Dominant side at diagnosis,Documented dominant side of motor symptoms at diagnosis.,categorical,Left; Right; Symmetric; Unknown,Latest eligible coherent diagnosis record.,Unknown remains an explicit category.,False,False,True
NP1CNST,Constipation,Patient-reported constipation severity.,ordinal,0–4; higher is more severe,Maximum eligible value in the primary analysis.,Latest value is a separate sensitivity; never combine both representations.,True,True,False
