model_column,source_group,descriptive_name,column_type,used_by_direct,used_by_stage_1,used_by_stage_2
Years_since_PD_diagnosis,Years_since_PD_diagnosis,Years since PD diagnosis,clinical value,True,True,True
Age,Age,Age,clinical value,True,True,False
MCATOT,MCATOT,MoCA total (cognition),clinical value,True,True,False
FRZGT12M,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",clinical value,True,True,True
SCAU14,SCAU14,Lightheadedness on standing up (SCOPA-AUT),clinical value,True,True,True
SCAU16,SCAU16,Fainting in preceding six months (SCOPA-AUT),clinical value,True,True,False
GDS_TOTAL,GDS_TOTAL,Geriatric Depression Scale total,clinical value,True,True,False
NQ_GAUSSIAN_REVISION,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),clinical value,True,True,True
NP1RTOT,NP1RTOT,MDS-UPDRS Part I rater total,clinical value,True,True,False
NP1SLPD,NP1SLPD,Daytime sleepiness,clinical value,True,True,False
NP1URIN,NP1URIN,Urinary problems,clinical value,True,True,True
NP3GAIT_COMBINED_MAX,NP3GAIT_COMBINED_MAX,Gait (MDS-UPDRS Part III),clinical value,True,True,True
NP3PSTBL_COMBINED_MAX,NP3PSTBL_COMBINED_MAX,Postural stability (MDS-UPDRS Part III),clinical value,True,True,True
NHY_COMBINED_MAX,NHY_COMBINED_MAX,Hoehn and Yahr stage,clinical value,True,True,True
NP3TOT_COMBINED_MAX,NP3TOT_COMBINED_MAX,MDS-UPDRS Part III motor total,clinical value,True,True,False
NP4TOT,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),clinical value,True,True,True
NP1CNST,NP1CNST,Constipation,clinical value,True,True,False
FOG_FORM_MISSING,GROUP_FREEZING_FORM,"Freezing of gait, preceding 12 months",missingness indicator,True,True,True
NQ_FORM_MISSING,GROUP_NEUROQOL_FORM,Neuro-QoL Gaussian mobility score (8 items),missingness indicator,True,True,True
PART_IV_FORM_MISSING,GROUP_PART_IV_FORM,MDS-UPDRS Part IV total (motor complications),missingness indicator,True,True,True
DOPTHERST_Missing,DOPTHERST,Dopaminergic therapy started,missingness indicator,True,True,True
DOPTHERST_No,DOPTHERST,Dopaminergic therapy started,one-hot category,True,True,True
DOPTHERST_Yes,DOPTHERST,Dopaminergic therapy started,one-hot category,True,True,True
FEATPOSHYP_No,FEATPOSHYP,Symptomatic orthostatic hypotension documented,one-hot category,True,True,True
FEATPOSHYP_Uncertain,FEATPOSHYP,Symptomatic orthostatic hypotension documented,one-hot category,True,True,True
FEATPOSHYP_Yes,FEATPOSHYP,Symptomatic orthostatic hypotension documented,one-hot category,True,True,True
ANYFAMPD_Missing,ANYFAMPD,Family history of PD,missingness indicator,True,True,True
ANYFAMPD_No,ANYFAMPD,Family history of PD,one-hot category,True,True,True
ANYFAMPD_Yes,ANYFAMPD,Family history of PD,one-hot category,True,True,True
DOMSIDE_Left,DOMSIDE,Dominant side at diagnosis,one-hot category,False,False,True
DOMSIDE_Right,DOMSIDE,Dominant side at diagnosis,one-hot category,False,False,True
DOMSIDE_Symmetric,DOMSIDE,Dominant side at diagnosis,one-hot category,False,False,True
DOMSIDE_Unknown,DOMSIDE,Dominant side at diagnosis,one-hot category,False,False,True
